date,month,total_stock_kg,leg_stock_kg,wings_stock_kg,lollipop_stock_kg,actual_customers_served,total_sales_amount,coupon_uses_count,leg_pieces_sold,wings_pieces_sold,lollipop_pieces_sold,leg_pieces_leftover,wings_pieces_leftover,lollipop_pieces_leftover,leg_leftover_kg,wings_leftover_kg,lollipop_leftover_kg,total_pieces,total_sold_pieces,total_leftover_kg,total_sold_kg
2026-02-13,February,15.0,6.0,4.0,5.0,42,6097.0,9,28,75,76,32,25,24,3.2,1.0,1.2,260,81,5.4,9.6
2026-02-14,February,15.0,6.0,4.0,5.0,55,8073.0,9,38,95,100,22,5,0,2.2,0.2,0.0,260,27,2.4000000000000004,12.6
2026-02-15,February,15.0,6.0,4.0,5.0,43,6396.0,7,36,80,64,24,20,36,2.4,0.8,1.8,260,80,5.0,10.0
2026-02-16,February,15.0,6.0,4.0,5.0,55,8099.0,6,42,85,100,18,15,0,1.8,0.6,0.0,260,33,2.4,12.6
2026-02-17,February,15.0,6.0,4.0,5.0,50,7280.0,8,48,100,52,12,0,48,1.2,0.0,2.4,260,60,3.5999999999999996,11.4
2026-02-18,February,15.0,6.0,4.0,5.0,60,9269.0,6,60,100,88,0,0,12,0.0,0.0,0.6,260,12,0.6,14.4
2026-02-19,February,15.0,6.0,4.0,5.0,41,5759.0,7,28,85,56,32,15,44,3.2,0.6,2.2,260,91,6.0,9.0
2026-02-20,February,15.0,6.0,4.0,5.0,56,8710.0,16,48,100,100,12,0,0,1.2,0.0,0.0,260,12,1.2,13.8
2026-02-21,February,15.0,6.0,4.0,5.0,55,8073.0,8,40,100,92,20,0,8,2.0,0.0,0.4,260,28,2.4,12.6
2026-02-22,February,15.0,6.0,4.0,5.0,53,7930.0,8,48,85,84,12,15,16,1.2,0.6,0.8,260,43,2.5999999999999996,12.4
2026-02-23,February,15.0,6.0,4.0,5.0,41,6019.0,7,30,95,52,30,5,48,3.0,0.2,2.4,260,83,5.6,9.4
2026-02-24,February,15.0,6.0,4.0,5.0,51,7332.0,6,38,100,72,22,0,28,2.2,0.0,1.4,260,50,3.6,11.4
2026-02-25,February,15.0,6.0,4.0,5.0,55,7878.0,4,44,85,88,16,15,12,1.6,0.6,0.6,260,43,2.8000000000000003,12.2
2026-02-26,February,15.0,6.0,4.0,5.0,53,7982.0,5,36,100,96,24,0,4,2.4,0.0,0.2,260,28,2.6,12.4
2026-02-27,February,15.0,6.0,4.0,5.0,59,8970.0,9,52,95,100,8,5,0,0.8,0.2,0.0,260,13,1.0,14.0
2026-02-28,February,15.0,6.0,4.0,5.0,47,7215.0,4,34,95,80,26,5,20,2.6,0.2,1.0,260,51,3.8000000000000003,11.2
2026-03-01,March,13.9,5.56,3.71,4.63,55,8489.0,7,50,90,92,5,2,0,0.5,0.08,0.0,239,7,0.58,13.32
2026-03-02,March,11.0,4.4,2.93,3.67,34,4849.0,6,28,60,48,16,13,25,1.6,0.52,1.25,190,54,3.37,7.63
2026-03-03,March,14.7,5.88,3.92,4.9,49,7150.0,9,38,95,72,20,3,26,2.0,0.12,1.3,254,49,3.42,11.28
2026-03-04,March,13.7,5.48,3.65,4.57,52,7059.0,6,46,50,88,8,41,3,0.8,1.64,0.15,236,52,2.59,11.11
2026-03-05,March,10.7,4.28,2.85,3.57,40,6396.0,12,40,70,68,2,1,3,0.2,0.04,0.15,184,6,0.39,10.309999999999999
2026-03-06,March,12.7,5.08,3.39,4.23,45,6279.0,7,32,60,84,18,24,0,1.8,0.96,0.0,218,42,2.76,9.94
2026-03-07,March,13.3,5.32,3.55,4.43,44,6058.0,3,40,70,52,13,18,36,1.3,0.72,1.8,229,67,3.8200000000000003,9.48
2026-03-08,March,12.5,5.0,3.33,4.17,38,5005.0,4,32,40,60,18,43,23,1.8,1.72,1.15,216,84,4.67,7.83
2026-03-09,March,10.4,4.16,2.77,3.47,28,4121.0,3,20,45,52,21,24,17,2.1,0.96,0.85,179,62,3.91,6.49
2026-03-10,March,11.2,4.48,2.99,3.73,31,4511.0,3,22,45,60,22,29,14,2.2,1.16,0.7,192,65,4.0600000000000005,7.139999999999999
2026-03-11,March,11.4,4.56,3.04,3.8,39,6305.0,5,44,65,56,1,11,20,0.1,0.44,1.0,197,32,1.54,9.86
2026-03-12,March,12.9,5.16,3.44,4.3,34,5291.0,2,30,55,60,21,31,26,2.1,1.24,1.3,223,78,4.64,8.260000000000002
2026-03-13,March,10.5,4.2,2.8,3.5,40,6396.0,7,40,70,64,2,0,6,0.2,0.0,0.3,182,8,0.5,10.0
2026-03-14,March,11.8,4.72,3.15,3.93,31,4628.0,4,22,65,48,25,13,30,2.5,0.52,1.5,203,68,4.52,7.280000000000001
2026-03-15,March,14.1,5.64,3.76,4.7,39,6344.0,2,34,55,84,22,39,10,2.2,1.56,0.5,244,71,4.26,9.84
2026-03-16,March,11.6,4.64,3.09,3.87,37,5265.0,4,36,75,32,10,2,45,1.0,0.08,2.25,200,57,3.33,8.27
2026-03-17,March,12.0,4.8,3.2,4.0,42,6253.0,8,34,80,64,14,0,16,1.4,0.0,0.8,208,30,2.2,9.8
2026-03-18,March,10.8,4.32,2.88,3.6,32,4459.0,6,18,50,64,25,22,8,2.5,0.88,0.4,187,55,3.78,7.020000000000001
2026-03-19,March,10.9,4.36,2.91,3.63,33,4459.0,7,24,40,60,19,32,12,1.9,1.28,0.6,187,63,3.78,7.120000000000001
2026-03-20,March,13.5,5.4,3.6,4.5,44,6292.0,6,22,80,88,32,10,2,3.2,0.4,0.1,234,44,3.7,9.8
2026-03-21,March,14.2,5.68,3.79,4.73,47,6370.0,10,56,45,52,0,49,42,0.0,1.96,2.1,244,91,4.0600000000000005,10.139999999999999
2026-03-22,March,14.5,5.8,3.87,4.83,46,6760.0,7,44,50,84,14,46,12,1.4,1.84,0.6,250,72,3.8400000000000003,10.66
2026-03-23,March,11.5,4.6,3.07,3.83,43,6591.0,2,42,75,60,4,1,16,0.4,0.04,0.8,198,21,1.24,10.26
2026-03-24,March,11.7,4.68,3.12,3.9,43,6149.0,7,34,60,76,12,18,2,1.2,0.72,0.1,202,32,2.02,9.68
2026-03-25,March,10.6,4.24,2.83,3.53,37,5148.0,4,34,45,56,8,25,14,0.8,1.0,0.7,182,47,2.5,8.1
2026-03-26,March,13.6,5.44,3.63,4.53,47,6669.0,6,54,70,44,0,20,46,0.0,0.8,2.3,234,66,3.0999999999999996,10.5
2026-03-27,March,12.2,4.88,3.25,4.07,36,5239.0,5,22,65,68,26,16,13,2.6,0.64,0.65,210,55,3.89,8.309999999999999
2026-03-28,March,12.6,5.04,3.36,4.2,34,4836.0,8,22,65,56,28,19,28,2.8,0.76,1.4,218,75,4.959999999999999,7.640000000000001
2026-03-29,March,12.1,4.84,3.23,4.03,46,6279.0,6,36,80,60,12,0,20,1.2,0.0,1.0,208,32,2.2,9.899999999999999
2026-03-30,March,11.8,4.72,3.15,3.93,36,5642.0,5,28,75,60,19,3,18,1.9,0.12,0.9,203,40,2.92,8.88
2026-03-31,March,13.4,5.36,3.57,4.47,52,7800.0,9,44,85,88,9,4,1,0.9,0.16,0.05,231,14,1.11,12.290000000000001
2026-04-01,April,10.6,4.24,2.83,3.53,37,5681.0,3,30,70,60,12,0,10,1.2,0.0,0.5,182,22,1.7,8.9
2026-04-02,April,12.1,4.84,3.23,4.03,46,6851.0,3,40,80,68,8,0,12,0.8,0.0,0.6,208,20,1.4,10.7
2026-04-03,April,11.7,4.68,3.12,3.9,40,5694.0,2,24,65,76,22,13,2,2.2,0.52,0.1,202,37,2.8200000000000003,8.879999999999999
2026-04-04,April,14.1,5.64,3.76,4.7,55,7566.0,8,48,90,68,8,4,26,0.8,0.16,1.3,244,38,2.2600000000000002,11.84
2026-04-05,April,14.9,5.96,3.97,4.97,50,6942.0,6,36,70,88,23,29,11,2.3,1.16,0.55,257,63,4.01,10.89
2026-04-06,April,11.1,4.44,2.96,3.7,44,6825.0,5,44,70,68,0,4,6,0.0,0.16,0.3,192,10,0.45999999999999996,10.64
2026-04-07,April,12.7,5.08,3.39,4.23,44,6292.0,5,42,80,48,8,4,36,0.8,0.16,1.8,218,48,2.7600000000000002,9.94
2026-04-08,April,10.4,4.16,2.77,3.47,42,6032.0,5,38,65,60,3,4,9,0.3,0.16,0.45,179,16,0.9099999999999999,9.49
2026-04-09,April,12.7,5.08,3.39,4.23,49,7475.0,4,50,80,68,0,4,16,0.0,0.16,0.8,218,20,0.9600000000000001,11.739999999999998
2026-04-10,April,10.6,4.24,2.83,3.53,40,6045.0,5,38,70,56,4,0,14,0.4,0.0,0.7,182,18,1.1,9.5
2026-04-11,April,10.9,4.36,2.91,3.63,42,5967.0,1,30,70,68,13,2,4,1.3,0.08,0.2,187,19,1.58,9.32
2026-04-12,April,14.5,5.8,3.87,4.83,56,7930.0,9,52,95,68,6,1,28,0.6,0.04,1.4,250,35,2.04,12.46
2026-04-13,April,12.1,4.84,3.23,4.03,40,6097.0,9,26,80,76,22,0,4,2.2,0.0,0.2,208,26,2.4000000000000004,9.7
2026-04-14,April,14.2,5.68,3.79,4.73,40,5369.0,7,36,60,48,20,34,46,2.0,1.36,2.3,244,100,5.66,8.54
2026-04-15,April,13.6,5.44,3.63,4.53,48,6682.0,6,28,80,88,26,10,2,2.6,0.4,0.1,234,38,3.1,10.5
2026-04-16,April,10.7,4.28,2.85,3.57,41,5447.0,9,24,70,68,18,1,3,1.8,0.04,0.15,184,22,1.99,8.709999999999999
2026-04-17,April,14.8,5.92,3.95,4.93,53,7579.0,7,36,85,96,23,13,2,2.3,0.52,0.1,255,38,2.92,11.88
2026-04-18,April,14.5,5.8,3.87,4.83,53,7709.0,7,46,80,84,12,16,12,1.2,0.64,0.6,250,40,2.44,12.06
2026-04-19,April,11.4,4.56,3.04,3.8,36,4940.0,0,26,50,60,19,26,16,1.9,1.04,0.8,197,61,3.74,7.66
2026-04-20,April,12.9,5.16,3.44,4.3,51,7540.0,9,42,85,84,9,1,2,0.9,0.04,0.1,223,12,1.04,11.86
2026-04-21,April,14.7,5.88,3.92,4.9,59,8489.0,5,46,95,96,12,3,2,1.2,0.12,0.1,254,17,1.42,13.28
2026-04-22,April,13.5,5.4,3.6,4.5,37,5889.0,6,34,90,44,20,0,46,2.0,0.0,2.3,234,66,4.3,9.2
2026-04-23,April,10.0,4.0,2.67,3.33,32,4602.0,5,22,45,64,18,21,2,1.8,0.84,0.1,172,41,2.74,7.26
2026-04-24,April,14.6,5.84,3.89,4.87,48,7189.0,7,48,95,52,10,2,45,1.0,0.08,2.25,252,57,3.33,11.27
2026-04-25,April,10.5,4.2,2.8,3.5,39,5603.0,8,32,70,56,10,0,14,1.0,0.0,0.7,182,24,1.7,8.8
2026-04-26,April,10.6,4.24,2.83,3.53,32,5226.0,6,34,65,44,8,5,26,0.8,0.2,1.3,182,39,2.3,8.3
2026-04-27,April,11.6,4.64,3.09,3.87,35,5031.0,3,18,75,60,28,2,17,2.8,0.08,0.85,200,47,3.73,7.869999999999999
2026-04-28,April,11.2,4.48,2.99,3.73,40,5525.0,5,30,60,64,14,14,10,1.4,0.56,0.5,192,38,2.46,8.739999999999998
2026-04-29,April,10.6,4.24,2.83,3.53,39,5798.0,4,38,60,56,4,10,14,0.4,0.4,0.7,182,28,1.5,9.1
2026-04-30,April,12.7,5.08,3.39,4.23,38,6045.0,5,26,80,72,24,4,12,2.4,0.16,0.6,218,40,3.16,9.54
2026-05-01,May,11.1,4.44,2.96,3.7,39,6058.0,4,30,70,72,14,4,2,1.4,0.16,0.1,192,20,1.66,9.44
2026-05-02,May,11.7,4.68,3.12,3.9,34,4745.0,5,30,45,52,16,33,26,1.6,1.32,1.3,202,75,4.22,7.4799999999999995
2026-05-03,May,14.2,5.68,3.79,4.73,57,7995.0,5,42,90,92,14,4,2,1.4,0.16,0.1,244,20,1.66,12.54
2026-05-04,May,14.2,5.68,3.79,4.73,42,5798.0,12,32,75,60,24,19,34,2.4,0.76,1.7,244,77,4.86,9.34
2026-05-05,May,12.7,5.08,3.39,4.23,44,6617.0,8,30,80,84,20,4,0,2.0,0.16,0.0,218,24,2.16,10.54
2026-05-06,May,13.7,5.48,3.65,4.57,38,5811.0,3,20,75,80,34,16,11,3.4,0.64,0.55,236,61,4.59,9.11
2026-05-07,May,11.9,4.76,3.17,3.97,36,5551.0,3,22,70,72,25,9,7,2.5,0.36,0.35,205,41,3.21,8.690000000000001
2026-05-08,May,11.0,4.4,2.93,3.67,31,4511.0,3,20,55,56,24,18,17,2.4,0.72,0.85,190,59,3.97,7.029999999999999
2026-05-09,May,10.8,4.32,2.88,3.6,41,6305.0,5,34,70,72,9,2,0,0.9,0.08,0.0,187,11,0.98,9.82
2026-05-10,May,14.4,5.76,3.84,4.8,55,7644.0,11,36,95,92,21,1,4,2.1,0.04,0.2,249,26,2.3400000000000003,12.06
2026-05-11,May,14.8,5.92,3.95,4.93,51,7046.0,7,28,90,92,31,8,6,3.1,0.32,0.3,255,45,3.7199999999999998,11.080000000000002
2026-05-12,May,12.9,5.16,3.44,4.3,47,6409.0,6,42,70,60,9,16,26,0.9,0.64,1.3,223,51,2.84,10.06
2026-05-13,May,14.8,5.92,3.95,4.93,57,8749.0,5,56,95,84,3,3,14,0.3,0.12,0.7,255,20,1.1199999999999999,13.680000000000001
2026-05-14,May,14.1,5.64,3.76,4.7,42,6019.0,7,18,90,80,38,4,14,3.8,0.16,0.7,244,56,4.66,9.44
2026-05-15,May,12.7,5.08,3.39,4.23,40,6058.0,3,42,80,40,8,4,44,0.8,0.16,2.2,218,56,3.16,9.54
2026-05-16,May,14.0,5.6,3.73,4.67,48,7072.0,6,28,90,92,28,3,1,2.8,0.12,0.05,242,32,2.9699999999999998,11.030000000000001
2026-05-17,May,14.5,5.8,3.87,4.83,42,5928.0,4,24,95,60,34,1,36,3.4,0.04,1.8,250,71,5.24,9.26
2026-05-18,May,11.3,4.52,3.01,3.77,41,5629.0,7,28,75,60,17,0,15,1.7,0.0,0.75,195,32,2.45,8.850000000000001
2026-05-19,May,12.0,4.8,3.2,4.0,48,7280.0,9,48,80,68,0,0,12,0.0,0.0,0.6,208,12,0.6,11.4
2026-05-20,May,13.5,5.4,3.6,4.5,53,8398.0,13,52,90,88,2,0,2,0.2,0.0,0.1,234,4,0.30000000000000004,13.2
2026-05-21,May,10.8,4.32,2.88,3.6,42,6279.0,6,34,70,72,9,2,0,0.9,0.08,0.0,187,11,0.98,9.82
2026-05-22,May,12.0,4.8,3.2,4.0,34,4706.0,7,26,65,44,22,15,36,2.2,0.6,1.8,208,73,4.6000000000000005,7.3999999999999995
2026-05-23,May,12.1,4.84,3.23,4.03,41,5668.0,4,38,65,48,10,15,32,1.0,0.6,1.6,208,57,3.2,8.899999999999999
2026-05-24,May,10.9,4.36,2.91,3.63,34,4875.0,5,32,70,32,11,2,40,1.1,0.08,2.0,187,53,3.18,7.720000000000001
2026-05-25,May,15.0,6.0,4.0,5.0,44,6591.0,3,32,75,80,28,25,20,2.8,1.0,1.0,260,73,4.8,10.2
2026-05-26,May,12.1,4.84,3.23,4.03,34,4914.0,2,14,65,72,34,15,8,3.4,0.6,0.4,208,57,4.4,7.699999999999999
2026-05-27,May,11.3,4.52,3.01,3.77,32,4758.0,3,20,70,52,25,5,23,2.5,0.2,1.15,195,53,3.85,7.450000000000001
2026-05-28,May,13.9,5.56,3.71,4.63,44,6305.0,5,44,75,48,11,17,44,1.1,0.68,2.2,239,72,3.9800000000000004,9.92
2026-05-29,May,12.6,5.04,3.36,4.2,48,8021.0,3,50,80,84,0,4,0,0.0,0.16,0.0,218,4,0.16,12.44
2026-05-30,May,10.8,4.32,2.88,3.6,39,5837.0,9,28,70,72,15,2,0,1.5,0.08,0.0,187,17,1.58,9.22
2026-05-31,May,14.9,5.96,3.97,4.97,50,7540.0,9,34,90,96,25,9,3,2.5,0.36,0.15,257,37,3.01,11.89
